study	patient	scoring	model	n_cells	n_samples	rho_claudin	rho_polarity	delta_z
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	fixed_background	common	1872	1	0.19135662928419453	0.18327802143661837	0.008372429990719021
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	0.5198499494576864	0.1869962406451048	0.3869113686245532
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	0.252301564256728	0.22380024408364463	0.030216153381603272
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	0.1933069326214967	0.22274881874487107	-0.030776377875488037
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	0.31937895667793914	0.16221677088815156	0.16729282892132943
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	0.2497495145212802	0.0924936389637778	0.16238688072507068
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	0.11507222292305508	0.06204633894234662	0.05345806664303785
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	fixed_background	common	550	1	0.25399321160507676	-0.01091051618944916	0.27058775309617866
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P4	fixed_background	common	1519	4	0.22383165582789086	0.03912420513521968	0.18854205524408343
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt01	fixed_background	common	2830	1	-0.03318422967041417	0.07734213227111145	-0.11069332180670065
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt02	fixed_background	common	2225	1	0.15513001153516742	0.11851687166312629	0.03731621096878239
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt03	fixed_background	common	2377	1	0.21944009370793469	0.03382379449420924	0.18923109897648493
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt04	fixed_background	common	3307	1	0.15276820803635632	0.03572409018142828	0.11823427439551679
